Бетоны для монолитных бетонных работ,шт,2775,1248,7192,1167,5283,4,1,2,A bove maiore discit arare minor — У взрослого вола учится пахать подрастающий; потомки учатся у предков,товар со склада продавца.,Henri Lloyd,A bove maiore discit arare minor — У взрослого вола учится пахать подрастающий; потомки учатся у предков,5,3,8.7.2011,26.7.2011,10,20,3
Железобетонные балки,л,8012,6233,9756,6075,2134,2,8,5,A capite foetet piscis — рыба гниет с головы,товар доставляется перевозчику заказчика.,Magnitov.net,A capite foetet piscis — рыба гниет с головы,5,1,12.7.2011,22.7.2011,32,8,5
Железобетонные колонны,кг,6956,5927,6711,4340,6930,5,8,9,A capillis usque ad ungues — от волос до ногтей,товар доставляется к кораблю заказчика.,Polyflor,A capillis usque ad ungues — от волос до ногтей,5,1,8.7.2011,5.8.2011,29,16,27
Бетонные фундаментные блоки,м,1652,7110,6952,3174,1522,4,5,5,A capite ad calcem — с ног до головы,товар погружается на корабль заказчика.,PromoVere,A capite ad calcem — с ног до головы,6,1,13.7.2011,12.8.2011,36,6,22
Железобетонные ступени,км,3771,3255,3127,1183,8631,4,8,5,A casu ad casum — от случая к случаю,товар доставляется до порта заказчика (без выгрузки).,Москва,A casu ad casum — от случая к случаю,5,2,29.6.2011,15.7.2011,40,2,2
Бетонные и железобетонные элементы зданий,шт,1613,8378,7764,5764,6958,3,4,3,A contrario — от противного (метод доказательства),товар страхуется и доставляется до порта заказчика (без выгрузки).,Red Fox,A contrario — от противного (метод доказательства),6,4,14.7.2011,1.8.2011,4,18,18
Асфальтобетоны и асфальт,л,7090,7389,9232,1589,1238,2,6,1,A fonte puro pura defluit aqua — Из чистого источника чистая вода и вытекает,товар доставляется перевозчику заказчика в указанном месте назначения,Санкт-Петербург,A fonte puro pura defluit aqua — Из чистого источника чистая вода и вытекает,5,1,21.7.2011,3.8.2011,9,7,35
Керамзитобетонные блоки,кг,257,2828,5910,5688,7271,3,3,4,A fructibus arborem aestima — Дерево оценивают по его плодам,товар страхуется и доставляется перевозчику заказчика в указанном месте назначения,Sportego,A fructibus arborem aestima — Дерево оценивают по его плодам,5,2,3.7.2011,1.8.2011,27,18,35
Газобетонные блоки,м,7713,8648,8430,9496,8787,2,8,10,A Jove principum! — Начинай каждое дело с молитвой ,Поставка в месте назначения,Санкт-Петербург,A Jove principum! — Начинай каждое дело с молитвой ,5,2,20.7.2011,7.8.2011,20,6,1
Легкобетонные пустотные вкладыши для перекрытий,км,1889,6219,3632,3497,3972,4,2,9,A limine — с порога,Поставка на терминале. Экспортные платежи лежат на продавцеа импортные на покупателе.Терминал находится на границенужно указать название терминала.,WDMobile,A limine — с порога,5,2,4.7.2011,24.7.2011,28,20,26
Бетонные плиты,шт,6680,1153,6477,5434,9595,3,8,1,А linea — с новой строки,товар доставляется заказчику очищенный от пошлин и рисков,Авторское ателье,А linea — с новой строки,5,2,3.7.2011,14.7.2011,1,27,39
 Внутренние системы гидроизоляции подвалов,л,8097,6113,8762,1830,48,4,6,9,A maximis ad minima — от большого к малому,товар со склада продавца.,Ева,A maximis ad minima — от большого к малому,5,4,18.7.2011,7.8.2011,2,32,5
Противогрибковые и противоплесневые материалы,кг,4433,1500,2916,1634,1821,2,8,2,A minori ad majus — По меньшему заключать о большем,товар доставляется перевозчику заказчика.,Завод акустических конструкций,A minori ad majus — По меньшему заключать о большем,6,3,9.7.2011,2.8.2011,5,2,1
